username,userid,profile_location,created_at,text,retweet_count,source,coordinates
【=◈︿◈=】🌙月子🌙,824539917178933249,"Puyallup, WA",2023-01-20 23:33:16,@Lizzugzug lets go random homeless person,0,Twitter Web App,
Dave Drake,235579190,"Puyallup, WA",2023-01-20 20:31:08,Up Seattle. Take Sawant with you. I used to Love going to Seattle. But since the crime is up and homeless numbers a… https://t.co/2d0liqbwG5,0,Twitter for iPhone,
Steven Moore 🌻,820441408200798208,"Puyallup, WA",2023-01-20 00:57:28,@TheStranger A real loss for the homeless and lazy,0,Twitter for iPhone,
Jen Gustin,22276984,"Puyallup, WA",2023-01-18 23:07:34,@KIRONewsradio @BrandiKruse @JayInslee Its not going to solve anything. Those of us out here working our asses off… https://t.co/xqMcLVvLZD,0,Twitter for iPhone,
FloatPoolJess,1431022568908083203,"Puyallup, WA",2023-01-17 09:07:47,"@missmayn Suburbia isn't walkable and doesn't have real transit.
Homeless are in libraries, spend all day at Kroger… https://t.co/CxW7OM0mcS",0,Twitter for Android,
