username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Bards Eye News,1279828796653223936,"Olympia, WA",2023-01-21 14:30:39,@jasonrantz Funny thing… I never did see evidence of mass deaths with CoVID… especially amongst the homeless population.,0,Twitter for iPhone,
.Hack//Epitaph Of Twilight ⧋,1295479345314533376,"Olympia, WA",2023-01-21 05:29:15,For those wondering if its a bit dramatic just know the only thing that kept me alive while I was homeless &amp; drug a… https://t.co/JjsO5CH2qN,0,Twitter for Android,
City of Olympia,1398074706,"Olympia, Washington",2023-01-20 16:05:58,Don’t forget about the January 23 deadline to apply to join the Regional Housing Council’s Affordable Housing Advis… https://t.co/PiatrF0cai,2,Twitter for iPad,
Observer,770269148119085057,"Olympia, WA",2023-01-19 22:35:16,"@OmegaMom_ @EmilyYV68 @jc_playmakerWNY @kylegriffin1 Omg, if a 30% sales tax is added to rent, our already high hom… https://t.co/j4oM2jPSay",0,Twitter Web App,
Ron Shreve,1518738474123157506,"Olympia, WA",2023-01-19 19:07:24,"@kcexec @KingCountyWA @PierceCo Crime is out of control, our roads are falling apart, homeless people all over the… https://t.co/aBDLcjpBHn",0,Twitter for iPhone,
Ron Shreve,1518738474123157506,"Olympia, WA",2023-01-19 06:55:28,@KIRONewsradio @BrandiKruse @JayInslee The homeless will see about $30 out of that.,0,Twitter for iPhone,
Chadders67,241603215,"Olympia, WA",2023-01-19 04:46:07,@BrandiKruse @GovInslee Jay has no ability to think objectively while holding his party line about Vaccines!!! He s… https://t.co/87c3vHXjEz,0,Twitter for iPhone,
Willard Eldredge,2181545334,"Tumwater, WA",2023-01-19 02:42:36,@KIRONewsradio @BrandiKruse @JayInslee Your creating a magnet which will bring more homeless people to this region.,0,Twitter for iPad,
KTLucas (Hereditary Chief) 🌹,15964210,"Olympia, WA",2023-01-19 02:13:27,ABSOLUTELY NO more funding! We have millions struggling &amp; homeless on streets in the U.S. We have domestic crisis t… https://t.co/cM8yvtGhpU,0,Twitter Web App,
Thurston County,89831668,"Olympia, WA",2023-01-18 16:41:33,"The Annual 'Point in TIme' Homeless Census Event, for youth &amp; young adults (13-24), will take place at First Christ… https://t.co/EVqBhF3OFN",1,Twitter Web App,
ThurstonHealth,937440919,"Olympia, Washington, USA",2023-01-18 00:01:05,"The Annual 'Point in TIme' Homeless Census Event, for youth &amp; young adults (13-24), will take place at First Christ… https://t.co/9bmQ3yT8aA",1,Hootsuite Inc.,
Billie Sue McCue,745106868364664836,"Olympia, WA",2023-01-17 23:14:11,10 Minute Warning LA Homeless' Belongings Taken During Sweeps https://t.co/rY9cHTLEqx via @YouTube,0,Twitter Web App,
Washington State House Republicans,18258453,"Olympia, Washington",2023-01-16 21:56:13,Capitol Buzz: Look back at Martin Luther King Jr.'s extraordinary life; More homeless people died in King County in… https://t.co/EcAGEVEMqH,0,Twitter for iPhone,
Sam Smith,99739484,"Olympia, WA",2023-01-16 18:39:37,@a3rdrightwing @ThomasEWoods @Cernovich You think we should be putting involuntary psych holds on people simply because they are homeless?,0,Twitter for iPhone,
Jane H,2876043991,"Olympia, WA",2023-01-16 17:28:49,@Easterbaby85 @bennyjohnson Are you for real? Your hate for Trump made you blind. I guess you are one of the few th… https://t.co/fsqglBkceR,0,Twitter for iPhone,
Frances Morton ❤️🇺🇦🌹,1468335170315251712,"Olympia, WA",2023-01-16 03:16:03,"Sheng Thao, once homeless and fleeing abuse, becomes the mayor of Oakland, California - NBC News https://t.co/52hIKfv2c1",0,Twitter for iPhone,
T Todd,262697199,"Olympia, Washington",2023-01-15 19:11:30,@everstrdst @djkeithkaos1 @bone00afide @BTTFSuperfan All the people I know who have had Covid are saying pretty muc… https://t.co/Yz9BMtE90K,0,Twitter for iPhone,
